19/06 00:31:00 FINE sim.Admin|Log for simulation 1 started
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.15926431791374815 Cmp ID: 1259734010 Cmp Bid: 917
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.19337950412951138 Cmp ID: 1259734010 Cmp Bid: 1185
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.17759286736767624 Cmp ID: 1259734010 Cmp Bid: 1124
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.1139461833579213 Cmp ID: 1259734010 Cmp Bid: 275
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.1616837875195002 Cmp ID: 1259734010 Cmp Bid: 153
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.16270224309482395 Cmp ID: 1259734010 Cmp Bid: 991
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.13676306487938877 Cmp ID: 1259734010 Cmp Bid: 1116
19/06 00:31:02 FINE agents.DemandAgent|Day 0 :Got AdNetBidMessage from adv1 : UCS Bid: 0.13232446657823188 Cmp ID: 1259734010 Cmp Bid: 369
19/06 00:31:10 INFO sim.Simulation|***** START OF TIME 1 *****
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #379574672 at price 10.952
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #379574672 at price 10.952
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-2
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1696614764 at price 3.037
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1696614764 at price 3.037
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-3
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #832364645 at price 9.54
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #832364645 at price 9.54
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-4
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #712689217 at price 1.657
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #712689217 at price 1.657
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-5
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #510381772 at price 10.49
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #510381772 at price 10.49
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-6
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #853559845 at price 1.932
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #853559845 at price 1.932
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: DummyAdnetwork-7
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #126967427 at price 10.952
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #126967427 at price 10.952
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Initialized AdxQueryBid for advertiser: adv1
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1273570415 at price 3.312
19/06 00:31:10 INFO demand.CampaignImpl|Applied daily limit for campaign #1273570415 at price 3.312
19/06 00:31:10 INFO agents.DemandAgent|Day 1 : Auction pending campaign: CampaignImpl [id=1259734010, reachImps=1215, dayStart=2, dayEnd=6, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.9253553246919672, mobileCoef=1.6989367080549678, budgetMillis=0, advertiser=null]
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Quality Ratings... Quality Retings DummyAdnetwork: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0adv1: 1.0DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0DummyAdnetwork-2: 1.0
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Reporting campaign auction results... CampaignImpl [id=1259734010, reachImps=1215, dayStart=2, dayEnd=6, targetSegment=[OLD, HIGH_INCOME], videoCoef=2.9253553246919672, mobileCoef=1.6989367080549678, budgetMillis=275, advertiser=DummyAdnetwork-5]
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Reporting UCS auction results... DummyAdnetwork[efday=1, level=1.0, price=0.0] DummyAdnetwork-7[efday=1, level=1.0, price=0.0] adv1[efday=1, level=1.0, price=0.0] DummyAdnetwork-6[efday=1, level=1.0, price=0.0] DummyAdnetwork-5[efday=1, level=1.0, price=0.0] DummyAdnetwork-4[efday=1, level=1.0, price=0.0] DummyAdnetwork-3[efday=1, level=1.0, price=0.0] DummyAdnetwork-2[efday=1, level=1.0, price=0.0] 
19/06 00:31:10 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@2a491adf
19/06 00:31:10 INFO agents.DemandAgent|Day 1 :Notifying new campaign opportunity: CampaignImpl [id=1256372988, reachImps=12390, dayStart=3, dayEnd=7, targetSegment=[MALE], videoCoef=2.8090023648386615, mobileCoef=1.637008798321316, budgetMillis=0, advertiser=null]
19/06 00:31:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
19/06 00:31:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
19/06 00:31:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
19/06 00:31:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for bestbuy
19/06 00:31:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for ebay
19/06 00:31:10 FINE agents.DefaultAdxUserManager|Updating reserve prices for nyt
19/06 00:31:10 FINE agents.DefaultAdxUserManager|##################################### S-Invoking users activity
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: adv1 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: adv1 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork-2 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork-2 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork-3 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork-3 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork-4 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork-4 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork-5 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork-5 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork-6 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork-6 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registering AdxQueryBid for advertiser: DummyAdnetwork-7 to the event bus
19/06 00:31:10 INFO tracker.AdxBidTrackerImpl|Registered AdxQueryBid for advertiser: DummyAdnetwork-7 to the event bus
19/06 00:31:10 FINE agents.DefaultAdxUserManager|##################################### E-Invoking users activity - total time in millis: 639
19/06 00:31:10 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork : UCS Bid: 0.14979795125332498 Cmp ID: 1256372988 Cmp Bid: 10956
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-2 : UCS Bid: 0.10926362044001123 Cmp ID: 1256372988 Cmp Bid: 2452
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-3 : UCS Bid: 0.120609846842704 Cmp ID: 1256372988 Cmp Bid: 776
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-4 : UCS Bid: 0.16626857393699074 Cmp ID: 1256372988 Cmp Bid: 9848
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-5 : UCS Bid: 0.18097913245310726 Cmp ID: 1256372988 Cmp Bid: 10250
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-6 : UCS Bid: 0.1553566083233136 Cmp ID: 1256372988 Cmp Bid: 1582
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from DummyAdnetwork-7 : UCS Bid: 0.1510118027930096 Cmp ID: 1256372988 Cmp Bid: 10669
19/06 00:31:10 FINE agents.DemandAgent|Day 1 :Got AdNetBidMessage from adv1 : UCS Bid: 0.12628113107035452 Cmp ID: 1256372988 Cmp Bid: 12061
19/06 00:31:20 INFO sim.Simulation|***** START OF TIME 2 *****
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #379574672 at price 10.952
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #379574672 at price 10.952
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1696614764 at price 3.037
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1696614764 at price 3.037
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #832364645 at price 9.54
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #832364645 at price 9.54
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #712689217 at price 1.657
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #712689217 at price 1.657
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1259734010 at price 0.275
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1259734010 at price 0.275
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #853559845 at price 1.932
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #853559845 at price 1.932
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #126967427 at price 10.952
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #126967427 at price 10.952
19/06 00:31:20 INFO tracker.AdxBidTrackerImpl|Requested daily limit for campaign #1273570415 at price 3.312
19/06 00:31:20 INFO demand.CampaignImpl|Applied daily limit for campaign #1273570415 at price 3.312
19/06 00:31:20 INFO agents.DemandAgent|Day 2 : Auction pending campaign: CampaignImpl [id=1256372988, reachImps=12390, dayStart=3, dayEnd=7, targetSegment=[MALE], videoCoef=2.8090023648386615, mobileCoef=1.637008798321316, budgetMillis=0, advertiser=null]
19/06 00:31:20 FINE agents.DemandAgent|Day 2 :Quality Ratings... Quality Retings DummyAdnetwork: 1.0DummyAdnetwork-7: 1.0DummyAdnetwork-6: 1.0adv1: 1.0DummyAdnetwork-5: 1.0DummyAdnetwork-4: 1.0DummyAdnetwork-3: 1.0DummyAdnetwork-2: 1.0
19/06 00:31:20 FINE agents.DemandAgent|Day 2 :Reporting campaign auction results... CampaignImpl [id=1256372988, reachImps=12390, dayStart=3, dayEnd=7, targetSegment=[MALE], videoCoef=2.8090023648386615, mobileCoef=1.637008798321316, budgetMillis=2452, advertiser=DummyAdnetwork-6]
19/06 00:31:20 FINE agents.DemandAgent|Day 2 :Reporting UCS auction results... DummyAdnetwork[efday=2, level=0.6561000000000001, price=0.089730246867367] DummyAdnetwork-7[efday=2, level=0.5904900000000002, price=0.07813627426978016] adv1[efday=2, level=0.5314410000000002, price=0.06055567362991707] DummyAdnetwork-6[efday=2, level=0.81, price=0.13096386789079517] DummyAdnetwork-5[efday=2, level=0.7290000000000001, price=0.11610368775912241] DummyAdnetwork-4[efday=2, level=0.47829690000000014, price=0.0] DummyAdnetwork-3[efday=2, level=0.9, price=0.14643201878534157] DummyAdnetwork-2[efday=2, level=1.0, price=0.17759286736767624] 
19/06 00:31:20 SEVERE agents.DemandAgent|DeadEvent - source: com.google.common.eventbus.EventBus@2d7403a7 event: tau.tac.adx.messages.UserClassificationServiceNotification@1ce7fbb5
19/06 00:31:20 INFO agents.DemandAgent|Day 2 :Notifying new campaign opportunity: CampaignImpl [id=1111373542, reachImps=15264, dayStart=4, dayEnd=8, targetSegment=[YOUNG, LOW_INCOME], videoCoef=2.9527265800126545, mobileCoef=2.347088948699238, budgetMillis=0, advertiser=null]
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for webmd
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.06291267111209628
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.06213177163067524
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 0.06230382861979426
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.0613615489318929
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.0610134475000202
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.06021160812431501
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.06322897245880249
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.061566240018920235
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for msn
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.06296497920678278
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.06066128721103385
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.06322043908304606
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 0.06289457219660374
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.06311670059821334
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 0.061496616006934575
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 0.06307083790879321
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.0636299270648046
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.061691048745882576
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.06150521405000249
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 0.06
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.06065819650191063
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.06329563916184373
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 0.06370386362588801
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=text] to 0.06304617894444367
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updating reserve prices for cnet
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=text] to 0.0630737297360841
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=video] to 0.06026023342140102
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, LOW_INCOME], adType=video] to 0.06323742936111063
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=text] to 0.0630445165189805
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=video] to 0.06330652270264991
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=text] to 0.06088363696011019
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=video] to 0.06374710588272785
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, HIGH_INCOME], adType=video] to 0.06242778414484558
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=text] to 0.06160896746851386
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, LOW_INCOME], adType=video] to 0.060656072383072
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, YOUNG, HIGH_INCOME], adType=video] to 0.06394743520398678
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, HIGH_INCOME], adType=video] to 0.061637391797446345
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, YOUNG, LOW_INCOME], adType=text] to 0.060655859321053364
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[FEMALE, OLD, LOW_INCOME], adType=text] to 0.06321450972190057
19/06 00:31:20 FINE agents.DefaultAdxUserManager|Updated reserve price for ReservePriceType [marketSegment=[MALE, OLD, HIGH_INCOME], adType=text] to 0.0637177923236231
